,Année,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,Prod.(t)
10,2010,239640.3,1485134.7,307450.0,6233.7,9753.9,12.0,11645.0,488843.6,37365.0,878005.2,10850.0,55750.0,1575.0,651763.8,27840,346466.4,526548.0,677958.0,12260.0,679380,635610.0,52240.0,138202.2,55678.8,135194.6,1271104.8,1263156.2,350117.7,216.0,4482.0,218960.0,530100.0,29450.4,2773.6,717467.3,693558.5,723038.0,183841.8,131432.3,12098.8,508474.8,62414.0,78880,313392.4,699036.1,47000.0,396445.7,7176.8,536150.2,278973.4,1442103.3,424549.8,556220.0,477850.0,590864.0,376860.1,530420.0,304640.0,1021492.4,1266328.9,598972.8,1484532.4,298320,20891.6,32330.0,390.0,217432.8,122176.8,62664.0,275708.0,255450,602248.6,6924.0,23501.6,0,990950.4,1124799.4,279824.4,645699.0,1627936.5,204600.0,237290.0,1162.8,6204.0,457969.4,835948.4,48840.0,164745.0,852150,19268.8,253885.6,0,2924.0,3572.0,204858.5,35486640.3
11,2011,226900.0,1529461.8,245390.0,10119.6,9030.0,64.6,8280.0,504176.4,34187.8,830036.9,16875.0,45057.6,2234.7,660853.0,21150,265692.0,462560.0,601210.0,12216.0,635040,703659.0,55890.0,100000.0,49552.0,123494.0,1263775.5,1223720.0,284390.0,240.0,6108.0,195850.7,412273.3,25300.0,3260.0,744762.0,601860.0,648310.0,153400.0,124875.0,15680.0,500700.0,43712.0,63360,284112.0,686180.0,36329.5,321750.0,3450.0,513970.0,291332.0,1410703.8,414956.7,521104.0,427540.0,529300.0,401404.0,454900.0,280200.0,1090598.0,1139702.8,606376.0,1634864.0,260420,22040.0,23227.2,300.0,202205.0,148649.0,55300.0,254173.0,233730,551460.0,5005.0,23950.0,0,1049188.8,1142976.0,262427.7,555440.0,1655618.0,174917.1,172530.7,805.6,6448.6,476780.0,714970.0,54055.0,156750.0,804760,19958.0,231739.6,0,3063.6,3329.9,190513.0,33970210.5
12,2012,229020.0,1482459.8,313300.0,10623.0,10910.0,40.0,10260.0,413524.3,43713.0,714834.0,21489.0,57181.0,2522.4,683030.0,25200,440022.0,715210.0,724100.0,12825.0,608400,622676.0,57883.0,159600.0,49344.0,145432.0,1376096.4,1352800.0,326978.0,227.5,8330.0,266030.1,598037.6,35960.0,3869.0,712350.0,732100.0,786150.0,188420.0,110083.5,18660.0,597050.0,60787.5,72900,348956.5,789950.0,55852.5,442340.0,6000.0,615166.1,287100.0,1165980.8,310738.0,586728.7,240000.0,265000.0,402115.0,328000.0,298350.0,960956.0,1343610.7,604080.0,1414337.0,298320,27880.0,35178.0,450.0,142560.0,109475.0,66012.0,223314.0,244550,645916.0,6500.0,25490.0,0,992461.2,1119744.0,308569.5,760123.0,1685247.0,233958.0,258060.5,986.4,6854.7,580073.6,983295.0,58590.0,83000.0,832140,14716.5,276258.0,0,3017.6,3649.0,210863.0,35502941.4
13,2013,209191.0,1688157.6,312320.0,11804.6,11611.0,30.4,11168.0,497462.7,42732.9,867093.7,38280.0,54292.5,5538.4,685150.0,27360,417434.0,670720.0,741040.0,13925.0,671220,665238.0,56476.0,150700.0,48816.0,143364.0,1316140.0,1376400.0,372208.0,420.0,17449.5,255143.2,551507.0,38080.0,8214.5,733204.0,645980.0,610750.0,180963.0,109641.0,16750.0,557650.0,61190.0,77000,269811.0,756600.0,52254.6,402000.0,6490.0,494341.0,289270.0,1497202.3,446133.3,533624.0,483600.0,614000.0,429285.0,546800.0,312650.0,1040426.8,1439899.1,580420.0,1509926.1,323760,23250.0,28595.0,720.0,218177.0,130930.0,63645.0,239169.0,226300,530647.0,6500.0,25560.0,0,1018330.0,1186164.0,298592.5,663775.0,1836605.0,229823.0,237211.2,1046.2,10525.0,466681.5,837570.0,61200.0,157600.0,854100,15917.5,286557.5,0,3366.0,4465.4,209482.5,36870814.5
14,2014,215791.0,1752280.0,312925.0,11151.0,13523.5,20.0,8360.0,571584.2,43167.0,877559.0,55800.0,60220.0,5122.5,715350.0,30490,376350.0,676890.0,694163.0,16980.0,563160,686770.8,64725.0,134385.0,53358.0,119971.0,1355780.0,1508574.0,382183.3,455.0,13733.0,276560.0,588660.0,31365.0,4576.0,733420.7,699661.0,722541.5,141781.0,109103.5,14040.0,677586.0,58751.0,73840,365301.5,758066.0,48033.6,309920.0,6600.0,623306.4,302120.0,1537663.4,348753.6,626366.3,373320.0,534900.0,463846.1,383640.0,296400.0,1036244.5,1424780.5,631350.0,1562268.0,294360,20020.0,26270.1,725.0,203811.8,140141.2,55404.0,236451.5,215040,667432.8,4290.0,22184.0,0,962680.0,1228656.0,322289.0,746110.0,1815050.0,232732.0,206157.0,1589.5,10739.7,587064.7,861112.0,71210.0,130860.0,786560,20088.0,292485.0,0,2614.5,4547.5,211816.0,37466078.2
15,2015,242910.0,1793629.5,306460.0,9727.0,15085.7,32.0,6736.0,600566.5,47798.0,992996.5,36296.0,69199.5,6540.4,751299.0,29720,419034.0,694823.0,751281.0,14680.0,722400,697370.0,72375.0,156145.0,59291.5,131529.0,1445990.0,1494986.5,378284.0,367.5,12558.0,288015.0,556103.5,37400.0,8287.0,781330.0,735827.0,843929.2,171840.0,126392.5,13392.5,676339.0,54473.5,73250,420640.1,805862.4,54365.0,387282.0,4290.0,673086.6,330790.0,1620805.9,487065.3,647003.2,515981.1,658577.7,491200.0,552783.7,337250.0,1213345.0,1528932.0,691747.0,1767153.0,273560,23390.2,28000.0,735.0,252115.0,153335.0,57417.0,274763.0,278640,726627.6,4940.0,28222.6,0,1140150.0,1261975.5,325771.5,762900.0,2006548.2,242453.0,253575.0,1211.0,9885.6,603367.2,951896.0,80100.0,189468.7,956300,19428.5,286184.0,0,3094.0,4191.5,229547.5,40944642.4
16,2016,206530.0,984250.0,283560.0,9424.7,14586.1,33.6,9625.0,361415.5,46330.0,502329.6,24963.0,74942.0,3941.3,552480.0,26480,371664.0,595362.0,438258.0,15510.6,485001,643041.8,51180.0,144550.0,34711.5,137600.0,1011367.0,895820.0,345000.0,234.0,10780.0,274417.0,563674.0,38849.0,9870.0,677150.0,446187.0,514605.0,192825.0,75883.0,19376.0,372346.0,68235.0,81990,361173.8,367725.0,50092.5,368533.5,8418.00000000001,509380.5,267980.0,930735.0,298051.0,513228.5,325416.0,387027.9,430800.0,353863.6,192052.0,757120.0,839280.0,456250.0,1117248.0,278200,31927.5,34220.0,688.0,164547.1,104145.4,69120.0,168108.0,195191,470649.6,6340.0,28871.8,0,754850.0,559980.0,183100.0,603060.0,1158140.0,217749.0,237376.0,1681.0,9468.0,510691.4,678786.0,56745.0,112609.0,480366,14827.5,150885.0,0,1950.0,2092.5,123550.0,27560667.8
17,2017,239440.0,1528770.0,302295.0,7418.0,10899.0,30.0,7460.0,511525.0,36526.0,806340.0,25811.0,74651.0,3707.4,679565.0,21460,370860.0,567125.0,707124.0,18948.2,672606,727339.0,63466.0,148635.0,52130.0,111660.0,1263097.0,1327715.8,378280.0,255.5,10731.0,248740.0,528882.0,37423.5,9823.0,760838.0,688751.5,758112.5,182420.0,123987.0,19661.3,607759.5,56140.0,68205,398574.1,673051.0,47169.0,386568.0,8487.0,598859.8,313270.0,1353915.0,402210.0,599525.0,404260.0,534130.0,483220.0,471900.0,327488.0,1033980.0,1302270.0,609830.0,1561980.0,268880,32581.0,34080.0,709.5,236980.0,131080.0,64924.0,257765.5,292950,655421.2,6045.0,27510.0,0,1087040.0,1104313.5,277520.0,676299.0,1686669.0,219800.0,236481.0,1148.1,5480.0,575830.6,868032.0,71286.0,160580.0,830130,23480.0,243675.0,0,2747.0,3225.0,199178.0,36559140.5
18,2018,232233.0,1468866.0,290200.0,5801.0,7499.0,40.0,7486.0,505908.0,28240.0,832923.0,21336.0,64818.0,4035.7,599773.0,20840,361800.0,547200.0,626360.5,16278.0,663795,610000.0,58314.0,136068.0,43587.5,93821.5,1204748.0,1262142.5,354948.0,220.5,7825.5,185701.0,452355.0,33488.0,9065.0,629852.5,638298.0,673134.0,169047.0,110176.0,17575.0,567322.0,51873.0,66700,339420.7,655830.5,41400.0,336235.2,7778.5,534896.0,265604.0,1344062.0,429487.5,512043.0,421395.0,543550.0,429900.0,439758.0,292225.5,1012528.0,1256796.0,538168.0,1512159.0,254640,24097.5,26367.5,507.5,222991.2,130087.5,61685.0,228292.5,247264,567264.8,5985.0,26969.5,0,982988.0,1010817.5,259920.0,662740.0,1593900.0,179051.5,199700.0,898.0,5866.0,455157.3,808128.0,58898.0,160000.0,841160,18265.0,233850.0,0,2733.5,2925.0,177331.0,34045411.9
19,2019,272363.7,1701816.0,283200.0,7866.2,10403.5,48.0,7637.6,539998.0,44054.0,868380.0,45732.5,82248.0,5440.0,718380.0,22198,436827.5,713251.0,724232.0,20025.0,688760,754400.0,62406.0,176550.0,49580.0,94923.4,1334862.5,1407540.0,380850.0,440.0,9020.0,329936.0,596482.0,39848.0,6950.0,783015.0,731848.5,800492.8,182410.6,125060.0,22830.5,647692.5,48879.0,62075,419560.0,744209.3,50048.0,449996.0,8019.5,645926.8,332881.0,1490694.0,453084.0,635792.0,455598.0,620500.0,489570.0,529920.0,333794.0,1142175.0,1413594.0,666365.0,1694043.5,197090,30875.0,38323.5,787.5,241300.0,140437.8,63713.1,277648.0,295564,710905.2,6177.5,24997.5,0,1134792.0,1181400.0,295756.5,772350.0,1831125.0,260976.0,281800.0,1333.4,6095.1,612506.6,1037530.0,76027.5,176936.0,900450,23305.0,265654.5,0,3476.0,4002.0,206404.0,39516461.6
20,2020,178974.0,1421480.0,237100.0,8982.0,9612.0,32.0,6699.0,501900.0,20010.0,836500.0,33560.0,63930.0,5126.4,568963.0,20940,205688.1,314423.2,486025.0,11788.0,558730,519600.0,49955.0,76054.5,42399.0,91315.0,1066437.0,1049390.0,306810.0,297.5,7480.0,161942.0,309196.5,11025.0,13296.0,450860.0,416295.5,425730.0,140972.0,104370.0,5635.0,413223.0,42678.0,64730,215026.0,503030.0,32764.0,201120.5,8260.0,410522.4,252066.0,1403455.0,389350.0,399115.9,431900.0,550960.0,332410.0,463985.0,220740.0,996980.0,1201518.0,432906.0,1474621.0,234930,9804.2,11092.0,613.5,243551.0,143304.0,49313.0,243530.0,232700,389672.6,5131.0,18995.0,0,904536.0,890158.5,217404.0,423947.0,1678514.0,171342.0,130532.0,1739.0,5520.0,274407.5,514992.5,43520.0,164570.0,608300,22344.0,191952.0,0,2535.0,2052.0,165516.0,29177401.3
21,2021,258268.0,1569696.0,286258.0,15417.3,12160.0,45.6,8040.0,549050.0,34986.8,893490.0,38164.0,79785.0,7728.5,618649.0,22146,347908.6,538970.1,609572.0,15626.0,655200,615630.0,58870.0,135990.6,45990.0,108655.0,1236004.0,1334900.0,350990.0,297.5,10045.0,250470.0,395880.0,28145.2,11552.0,692620.0,671287.0,704996.0,198539.5,117640.0,14589.0,595784.0,58248.0,70175,380442.6,682753.0,44797.6,314490.0,8492.0,566319.6,268394.0,1501055.0,434200.0,574441.2,459360.0,645495.0,451820.0,503910.0,279900.0,985824.0,1272307.0,571248.0,1371934.0,239735,25147.8,34250.0,578.0,250350.0,140868.0,67388.0,230580.0,262020,648831.0,8255.0,24880.0,0,950380.0,1101949.5,267680.0,644773.5,1621986.0,212480.0,192376.0,2134.9,8015.0,518638.4,856375.0,63820.0,152768.0,831600,18300.0,243243.0,0,2739.0,3483.0,198121.0,35409386.8
